service_id,date,exception_type
5,20221226,1
3,20230417,2
5,20230417,1
E2025,20251201,2
3,20251201,2
4,20251201,1
E2025,20251229,2
E2025,20251230,2
E2025,20251231,2
E2025,20260101,2
E2025,20260102,2
E2025,20251225,2
E2025,20251226,2
E2025,20251222,2
E2025,20251223,2
E2025,20251224,2
E2025,20260105,2
E2025,20260106,2
E2025,20260107,2
